INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,OPR_DT,OPR_HR,OPR_INTERVAL,OPR_TYPE,ANC_TYPE,ANC_REGION,MARKET_RUN_ID,XML_DATA_ITEM,MW,GROUP
2019-07-01T09:00:00-00:00,2019-07-01T10:00:00-00:00,7/1/2019,3,0,Hourly,RU,AS_CAISO_EXP,DAM,RU_CLR_PRC,4.5,1
2019-07-02T06:00:00-00:00,2019-07-02T07:00:00-00:00,7/1/2019,24,0,Hourly,RU,AS_CAISO_EXP,DAM,RU_CLR_PRC,4.5,1
2019-07-01T15:00:00-00:00,2019-07-01T16:00:00-00:00,7/1/2019,9,0,Hourly,RU,AS_CAISO_EXP,DAM,RU_CLR_PRC,4.5,1
2019-07-01T16:00:00-00:00,2019-07-01T17:00:00-00:00,7/1/2019,10,0,Hourly,RU,AS_CAISO_EXP,DAM,RU_CLR_PRC,7.81474,1
2019-07-01T18:00:00-00:00,2019-07-01T19:00:00-00:00,7/1/2019,12,0,Hourly,RU,AS_CAISO_EXP,DAM,RU_CLR_PRC,7.81474,1
2019-07-02T01:00:00-00:00,2019-07-02T02:00:00-00:00,7/1/2019,19,0,Hourly,RU,AS_CAISO_EXP,DAM,RU_CLR_PRC,12.19553,1
2019-07-01T07:00:00-00:00,2019-07-01T08:00:00-00:00,7/1/2019,1,0,Hourly,RU,AS_CAISO_EXP,DAM,RU_CLR_PRC,4.5,1
2019-07-01T08:00:00-00:00,2019-07-01T09:00:00-00:00,7/1/2019,2,0,Hourly,RU,AS_CAISO_EXP,DAM,RU_CLR_PRC,4.5,1
2019-07-01T22:00:00-00:00,2019-07-01T23:00:00-00:00,7/1/2019,16,0,Hourly,RU,AS_CAISO_EXP,DAM,RU_CLR_PRC,7.30234,1
2019-07-01T13:00:00-00:00,2019-07-01T14:00:00-00:00,7/1/2019,7,0,Hourly,RU,AS_CAISO_EXP,DAM,RU_CLR_PRC,4.5,1
2019-07-01T14:00:00-00:00,2019-07-01T15:00:00-00:00,7/1/2019,8,0,Hourly,RU,AS_CAISO_EXP,DAM,RU_CLR_PRC,4.5,1
2019-07-01T10:00:00-00:00,2019-07-01T11:00:00-00:00,7/1/2019,4,0,Hourly,RU,AS_CAISO_EXP,DAM,RU_CLR_PRC,4.5,1
2019-07-01T17:00:00-00:00,2019-07-01T18:00:00-00:00,7/1/2019,11,0,Hourly,RU,AS_CAISO_EXP,DAM,RU_CLR_PRC,7.81474,1
2019-07-02T04:00:00-00:00,2019-07-02T05:00:00-00:00,7/1/2019,22,0,Hourly,RU,AS_CAISO_EXP,DAM,RU_CLR_PRC,12.01,1
2019-07-02T05:00:00-00:00,2019-07-02T06:00:00-00:00,7/1/2019,23,0,Hourly,RU,AS_CAISO_EXP,DAM,RU_CLR_PRC,5.37126,1
2019-07-01T20:00:00-00:00,2019-07-01T21:00:00-00:00,7/1/2019,14,0,Hourly,RU,AS_CAISO_EXP,DAM,RU_CLR_PRC,7.74,1
2019-07-02T00:00:00-00:00,2019-07-02T01:00:00-00:00,7/1/2019,18,0,Hourly,RU,AS_CAISO_EXP,DAM,RU_CLR_PRC,22.20047,1
2019-07-01T11:00:00-00:00,2019-07-01T12:00:00-00:00,7/1/2019,5,0,Hourly,RU,AS_CAISO_EXP,DAM,RU_CLR_PRC,4.5,1
2019-07-01T19:00:00-00:00,2019-07-01T20:00:00-00:00,7/1/2019,13,0,Hourly,RU,AS_CAISO_EXP,DAM,RU_CLR_PRC,4.5,1
2019-07-01T21:00:00-00:00,2019-07-01T22:00:00-00:00,7/1/2019,15,0,Hourly,RU,AS_CAISO_EXP,DAM,RU_CLR_PRC,4.5,1
2019-07-01T23:00:00-00:00,2019-07-02T00:00:00-00:00,7/1/2019,17,0,Hourly,RU,AS_CAISO_EXP,DAM,RU_CLR_PRC,10.88,1
2019-07-02T02:00:00-00:00,2019-07-02T03:00:00-00:00,7/1/2019,20,0,Hourly,RU,AS_CAISO_EXP,DAM,RU_CLR_PRC,24.73145,1
2019-07-02T03:00:00-00:00,2019-07-02T04:00:00-00:00,7/1/2019,21,0,Hourly,RU,AS_CAISO_EXP,DAM,RU_CLR_PRC,17.84369,1
2019-07-01T12:00:00-00:00,2019-07-01T13:00:00-00:00,7/1/2019,6,0,Hourly,RU,AS_CAISO_EXP,DAM,RU_CLR_PRC,4.5,1
