INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,OPR_DT,OPR_HR,OPR_TYPE,ANC_TYPE,XML_DATA_ITEM,MARKET_RUN_ID,MW,ANC_REGION,OPR_INTERVAL,GROUP,OPR_TM,,,,,,
2019-07-01T07:00:00-00:00,2019-07-01T07:15:00-00:00,7/1/2019,1,interval,RD,RD_CLR_PRC,RTM,10,AS_CAISO_EXP,1,1,1,,,,,,
2019-07-01T07:15:00-00:00,2019-07-01T07:30:00-00:00,7/1/2019,1,interval,RD,RD_CLR_PRC,RTM,10,AS_CAISO_EXP,2,1,2,,,,,,
2019-07-01T07:30:00-00:00,2019-07-01T07:45:00-00:00,7/1/2019,1,interval,RD,RD_CLR_PRC,RTM,8,AS_CAISO_EXP,3,1,3,,,,,,
2019-07-01T07:45:00-00:00,2019-07-01T08:00:00-00:00,7/1/2019,1,interval,RD,RD_CLR_PRC,RTM,8.4284,AS_CAISO_EXP,4,1,4,,,,,,
2019-07-01T08:00:00-00:00,2019-07-01T08:15:00-00:00,7/1/2019,2,interval,RD,RD_CLR_PRC,RTM,0,AS_CAISO_EXP,1,1,5,,,,,,
2019-07-01T08:15:00-00:00,2019-07-01T08:30:00-00:00,7/1/2019,2,interval,RD,RD_CLR_PRC,RTM,10,AS_CAISO_EXP,2,1,6,,,,,,
2019-07-01T08:30:00-00:00,2019-07-01T08:45:00-00:00,7/1/2019,2,interval,RD,RD_CLR_PRC,RTM,10,AS_CAISO_EXP,3,1,7,,,,,,
2019-07-01T08:45:00-00:00,2019-07-01T09:00:00-00:00,7/1/2019,2,interval,RD,RD_CLR_PRC,RTM,10,AS_CAISO_EXP,4,1,8,,,,,,
2019-07-01T09:00:00-00:00,2019-07-01T09:15:00-00:00,7/1/2019,3,interval,RD,RD_CLR_PRC,RTM,10,AS_CAISO_EXP,1,1,9,,,,,,
2019-07-01T09:15:00-00:00,2019-07-01T09:30:00-00:00,7/1/2019,3,interval,RD,RD_CLR_PRC,RTM,10,AS_CAISO_EXP,2,1,10,,,,,,
2019-07-01T09:30:00-00:00,2019-07-01T09:45:00-00:00,7/1/2019,3,interval,RD,RD_CLR_PRC,RTM,10,AS_CAISO_EXP,3,1,11,,,,,,
2019-07-01T09:45:00-00:00,2019-07-01T10:00:00-00:00,7/1/2019,3,interval,RD,RD_CLR_PRC,RTM,10,AS_CAISO_EXP,4,1,12,,,,,,
2019-07-01T10:00:00-00:00,2019-07-01T10:15:00-00:00,7/1/2019,4,interval,RD,RD_CLR_PRC,RTM,0,AS_CAISO_EXP,1,1,13,,,,,,
2019-07-01T10:15:00-00:00,2019-07-01T10:30:00-00:00,7/1/2019,4,interval,RD,RD_CLR_PRC,RTM,10,AS_CAISO_EXP,2,1,14,,,,,,
2019-07-01T10:30:00-00:00,2019-07-01T10:45:00-00:00,7/1/2019,4,interval,RD,RD_CLR_PRC,RTM,10,AS_CAISO_EXP,3,1,15,,,,,,
2019-07-01T10:45:00-00:00,2019-07-01T11:00:00-00:00,7/1/2019,4,interval,RD,RD_CLR_PRC,RTM,10,AS_CAISO_EXP,4,1,16,,,,,,
2019-07-01T11:00:00-00:00,2019-07-01T11:15:00-00:00,7/1/2019,5,interval,RD,RD_CLR_PRC,RTM,3.79,AS_CAISO_EXP,1,1,17,,,,,,
2019-07-01T11:15:00-00:00,2019-07-01T11:30:00-00:00,7/1/2019,5,interval,RD,RD_CLR_PRC,RTM,10,AS_CAISO_EXP,2,1,18,,,,,,
2019-07-01T11:30:00-00:00,2019-07-01T11:45:00-00:00,7/1/2019,5,interval,RD,RD_CLR_PRC,RTM,10,AS_CAISO_EXP,3,1,19,,,,,,
2019-07-01T11:45:00-00:00,2019-07-01T12:00:00-00:00,7/1/2019,5,interval,RD,RD_CLR_PRC,RTM,10,AS_CAISO_EXP,4,1,20,,,,,,
2019-07-01T12:00:00-00:00,2019-07-01T12:15:00-00:00,7/1/2019,6,interval,RD,RD_CLR_PRC,RTM,3.79,AS_CAISO_EXP,1,1,21,,,,,,
2019-07-01T12:15:00-00:00,2019-07-01T12:30:00-00:00,7/1/2019,6,interval,RD,RD_CLR_PRC,RTM,0,AS_CAISO_EXP,2,1,22,,,,,,
2019-07-01T12:30:00-00:00,2019-07-01T12:45:00-00:00,7/1/2019,6,interval,RD,RD_CLR_PRC,RTM,3.79,AS_CAISO_EXP,3,1,23,,,,,,
2019-07-01T12:45:00-00:00,2019-07-01T13:00:00-00:00,7/1/2019,6,interval,RD,RD_CLR_PRC,RTM,3.79,AS_CAISO_EXP,4,1,24,,,,,,
2019-07-01T13:00:00-00:00,2019-07-01T13:15:00-00:00,7/1/2019,7,interval,RD,RD_CLR_PRC,RTM,3.79,AS_CAISO_EXP,1,1,25,,,,,,
2019-07-01T13:15:00-00:00,2019-07-01T13:30:00-00:00,7/1/2019,7,interval,RD,RD_CLR_PRC,RTM,3.79,AS_CAISO_EXP,2,1,26,,,,,,
2019-07-01T13:30:00-00:00,2019-07-01T13:45:00-00:00,7/1/2019,7,interval,RD,RD_CLR_PRC,RTM,3.79,AS_CAISO_EXP,3,1,27,,,,,,
2019-07-01T13:45:00-00:00,2019-07-01T14:00:00-00:00,7/1/2019,7,interval,RD,RD_CLR_PRC,RTM,10,AS_CAISO_EXP,4,1,28,,,,,,
2019-07-01T14:00:00-00:00,2019-07-01T14:15:00-00:00,7/1/2019,8,interval,RD,RD_CLR_PRC,RTM,0,AS_CAISO_EXP,1,1,29,,,,,,
2019-07-01T14:15:00-00:00,2019-07-01T14:30:00-00:00,7/1/2019,8,interval,RD,RD_CLR_PRC,RTM,10,AS_CAISO_EXP,2,1,30,,,,,,
2019-07-01T14:30:00-00:00,2019-07-01T14:45:00-00:00,7/1/2019,8,interval,RD,RD_CLR_PRC,RTM,10,AS_CAISO_EXP,3,1,31,,,,,,
2019-07-01T14:45:00-00:00,2019-07-01T15:00:00-00:00,7/1/2019,8,interval,RD,RD_CLR_PRC,RTM,10,AS_CAISO_EXP,4,1,32,,,,,,
2019-07-01T15:00:00-00:00,2019-07-01T15:15:00-00:00,7/1/2019,9,interval,RD,RD_CLR_PRC,RTM,0,AS_CAISO_EXP,1,1,33,,,,,,
2019-07-01T15:15:00-00:00,2019-07-01T15:30:00-00:00,7/1/2019,9,interval,RD,RD_CLR_PRC,RTM,10,AS_CAISO_EXP,2,1,34,,,,,,
2019-07-01T15:30:00-00:00,2019-07-01T15:45:00-00:00,7/1/2019,9,interval,RD,RD_CLR_PRC,RTM,10,AS_CAISO_EXP,3,1,35,,,,,,
2019-07-01T15:45:00-00:00,2019-07-01T16:00:00-00:00,7/1/2019,9,interval,RD,RD_CLR_PRC,RTM,10,AS_CAISO_EXP,4,1,36,,,,,,
2019-07-01T16:00:00-00:00,2019-07-01T16:15:00-00:00,7/1/2019,10,interval,RD,RD_CLR_PRC,RTM,0,AS_CAISO_EXP,1,1,37,,,,,,
2019-07-01T16:15:00-00:00,2019-07-01T16:30:00-00:00,7/1/2019,10,interval,RD,RD_CLR_PRC,RTM,10,AS_CAISO_EXP,2,1,38,,,,,,
2019-07-01T16:30:00-00:00,2019-07-01T16:45:00-00:00,7/1/2019,10,interval,RD,RD_CLR_PRC,RTM,10,AS_CAISO_EXP,3,1,39,,,,,,
2019-07-01T16:45:00-00:00,2019-07-01T17:00:00-00:00,7/1/2019,10,interval,RD,RD_CLR_PRC,RTM,10,AS_CAISO_EXP,4,1,40,,,,,,
