INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,OPR_DT,OPR_HR,OPR_TYPE,ANC_TYPE,XML_DATA_ITEM,MARKET_RUN_ID,MW,ANC_REGION,OPR_INTERVAL,GROUP,OPR_TM
2019-07-01T07:00:00-00:00,2019-07-01T07:15:00-00:00,7/1/2019,1,interval,RU,RU_CLR_PRC,RTM,0.11,AS_CAISO_EXP,1,1,1
2019-07-01T07:15:00-00:00,2019-07-01T07:30:00-00:00,7/1/2019,1,interval,RU,RU_CLR_PRC,RTM,22.93,AS_CAISO_EXP,2,1,2
2019-07-01T07:30:00-00:00,2019-07-01T07:45:00-00:00,7/1/2019,1,interval,RU,RU_CLR_PRC,RTM,8,AS_CAISO_EXP,3,1,3
2019-07-01T07:45:00-00:00,2019-07-01T08:00:00-00:00,7/1/2019,1,interval,RU,RU_CLR_PRC,RTM,8,AS_CAISO_EXP,4,1,4
2019-07-01T08:00:00-00:00,2019-07-01T08:15:00-00:00,7/1/2019,2,interval,RU,RU_CLR_PRC,RTM,5,AS_CAISO_EXP,1,1,5
2019-07-01T08:15:00-00:00,2019-07-01T08:30:00-00:00,7/1/2019,2,interval,RU,RU_CLR_PRC,RTM,10,AS_CAISO_EXP,2,1,6
2019-07-01T08:30:00-00:00,2019-07-01T08:45:00-00:00,7/1/2019,2,interval,RU,RU_CLR_PRC,RTM,5,AS_CAISO_EXP,3,1,7
2019-07-01T08:45:00-00:00,2019-07-01T09:00:00-00:00,7/1/2019,2,interval,RU,RU_CLR_PRC,RTM,5,AS_CAISO_EXP,4,1,8
2019-07-01T09:00:00-00:00,2019-07-01T09:15:00-00:00,7/1/2019,3,interval,RU,RU_CLR_PRC,RTM,0.11,AS_CAISO_EXP,1,1,9
2019-07-01T09:15:00-00:00,2019-07-01T09:30:00-00:00,7/1/2019,3,interval,RU,RU_CLR_PRC,RTM,10,AS_CAISO_EXP,2,1,10
2019-07-01T09:30:00-00:00,2019-07-01T09:45:00-00:00,7/1/2019,3,interval,RU,RU_CLR_PRC,RTM,10,AS_CAISO_EXP,3,1,11
2019-07-01T09:45:00-00:00,2019-07-01T10:00:00-00:00,7/1/2019,3,interval,RU,RU_CLR_PRC,RTM,10,AS_CAISO_EXP,4,1,12
2019-07-01T10:00:00-00:00,2019-07-01T10:15:00-00:00,7/1/2019,4,interval,RU,RU_CLR_PRC,RTM,5,AS_CAISO_EXP,1,1,13
2019-07-01T10:15:00-00:00,2019-07-01T10:30:00-00:00,7/1/2019,4,interval,RU,RU_CLR_PRC,RTM,10,AS_CAISO_EXP,2,1,14
2019-07-01T10:30:00-00:00,2019-07-01T10:45:00-00:00,7/1/2019,4,interval,RU,RU_CLR_PRC,RTM,5,AS_CAISO_EXP,3,1,15
2019-07-01T10:45:00-00:00,2019-07-01T11:00:00-00:00,7/1/2019,4,interval,RU,RU_CLR_PRC,RTM,10,AS_CAISO_EXP,4,1,16
