month,day,hour,minute,weekday,Timestamp,Solar
1,1,0,0,3,1/1/2019 0:00,0.0001
1,1,0,15,3,1/1/2019 0:15,0.0001
1,1,0,30,3,1/1/2019 0:30,0.0001
1,1,0,45,3,1/1/2019 0:45,0.0001
1,1,0,60,3,1/1/2019 1:00,0.0001
1,1,0,75,3,1/1/2019 1:15,0.0001
1,1,0,90,3,1/1/2019 1:30,0.0001
1,1,0,105,3,1/1/2019 1:45,0.0001
1,1,0,120,3,1/1/2019 2:00,0.0001
1,1,0,135,3,1/1/2019 2:15,0.0001
1,1,0,150,3,1/1/2019 2:30,0.0001
1,1,0,165,3,1/1/2019 2:45,0.0001
1,1,0,180,3,1/1/2019 3:00,0.0001
1,1,0,195,3,1/1/2019 3:15,0.0001
1,1,0,210,3,1/1/2019 3:30,0.0001
1,1,0,225,3,1/1/2019 3:45,0.0001
1,1,0,240,3,1/1/2019 4:00,0.0001
1,1,0,255,3,1/1/2019 4:15,0.0001
1,1,0,270,3,1/1/2019 4:30,0.0001
1,1,0,285,3,1/1/2019 4:45,0.0001
1,1,0,300,3,1/1/2019 5:00,0.0001
1,1,0,315,3,1/1/2019 5:15,0.00675
1,1,0,330,3,1/1/2019 5:30,0.0134
1,1,0,345,3,1/1/2019 5:45,0.02005
1,1,0,360,3,1/1/2019 6:00,0.0267
1,1,0,375,3,1/1/2019 6:15,0.066225
1,1,0,390,3,1/1/2019 6:30,0.10575
1,1,0,405,3,1/1/2019 6:45,0.145275
1,1,0,420,3,1/1/2019 7:00,0.1848
1,1,0,435,3,1/1/2019 7:15,0.241175
1,1,0,450,3,1/1/2019 7:30,0.29755
1,1,0,465,3,1/1/2019 7:45,0.353925
1,1,0,480,3,1/1/2019 8:00,0.4103
1,1,0,495,3,1/1/2019 8:15,0.4414
1,1,0,510,3,1/1/2019 8:30,0.4725
1,1,0,525,3,1/1/2019 8:45,0.5036
1,1,0,540,3,1/1/2019 9:00,0.5347
1,1,0,555,3,1/1/2019 9:15,0.5477
1,1,0,570,3,1/1/2019 9:30,0.5607
1,1,0,585,3,1/1/2019 9:45,0.5737
1,1,0,600,3,1/1/2019 10:00,0.5867
1,1,0,615,3,1/1/2019 10:15,0.59095
1,1,0,630,3,1/1/2019 10:30,0.5952
1,1,0,645,3,1/1/2019 10:45,0.59945
1,1,0,660,3,1/1/2019 11:00,0.6037
1,1,0,675,3,1/1/2019 11:15,0.60415
1,1,0,690,3,1/1/2019 11:30,0.6046
1,1,0,705,3,1/1/2019 11:45,0.60505
1,1,0,720,3,1/1/2019 12:00,0.6055
1,1,0,735,3,1/1/2019 12:15,0.6037
1,1,0,750,3,1/1/2019 12:30,0.6019
1,1,0,765,3,1/1/2019 12:45,0.6001
1,1,0,780,3,1/1/2019 13:00,0.5983
1,1,0,795,3,1/1/2019 13:15,0.591425
1,1,0,810,3,1/1/2019 13:30,0.58455
1,1,0,825,3,1/1/2019 13:45,0.577675
1,1,0,840,3,1/1/2019 14:00,0.5708
1,1,0,855,3,1/1/2019 14:15,0.5531
1,1,0,870,3,1/1/2019 14:30,0.5354
1,1,0,885,3,1/1/2019 14:45,0.5177
1,1,0,900,3,1/1/2019 15:00,0.5
1,1,0,915,3,1/1/2019 15:15,0.4711
1,1,0,930,3,1/1/2019 15:30,0.4422
1,1,0,945,3,1/1/2019 15:45,0.4133
1,1,0,960,3,1/1/2019 16:00,0.3844
1,1,0,975,3,1/1/2019 16:15,0.35165
1,1,0,990,3,1/1/2019 16:30,0.3189
1,1,0,1005,3,1/1/2019 16:45,0.28615
1,1,0,1020,3,1/1/2019 17:00,0.2534
1,1,0,1035,3,1/1/2019 17:15,0.216925
1,1,0,1050,3,1/1/2019 17:30,0.18045
1,1,0,1065,3,1/1/2019 17:45,0.143975
1,1,0,1080,3,1/1/2019 18:00,0.1075
1,1,0,1095,3,1/1/2019 18:15,0.08465
1,1,0,1110,3,1/1/2019 18:30,0.0618
1,1,0,1125,3,1/1/2019 18:45,0.03895
1,1,0,1140,3,1/1/2019 19:00,0.0161
1,1,0,1155,3,1/1/2019 19:15,0.012225
1,1,0,1170,3,1/1/2019 19:30,0.00835
1,1,0,1185,3,1/1/2019 19:45,0.004475
1,1,0,1200,3,1/1/2019 20:00,0.0006
1,1,0,1215,3,1/1/2019 20:15,0.000525
1,1,0,1230,3,1/1/2019 20:30,0.00045
1,1,0,1245,3,1/1/2019 20:45,0.000375
1,1,0,1260,3,1/1/2019 21:00,0.0003
1,1,0,1275,3,1/1/2019 21:15,0.000275
1,1,0,1290,3,1/1/2019 21:30,0.00025
1,1,0,1305,3,1/1/2019 21:45,0.000225
1,1,0,1320,3,1/1/2019 22:00,0.0002
1,1,0,1335,3,1/1/2019 22:15,0.000175
1,1,0,1350,3,1/1/2019 22:30,0.00015
1,1,0,1365,3,1/1/2019 22:45,0.000125
1,1,0,1380,3,1/1/2019 23:00,0.0001
1,1,0,1395,3,1/1/2019 23:15,0.00015
1,1,0,1410,3,1/1/2019 23:30,0.0002
1,1,0,1425,3,1/1/2019 23:45,0.00025
