,TripId,ResNode,CommNode,HouseID
0,30190861-2,0,1,0
1,30220451-2,0,1,1
2,40179490-1,0,0,2
3,40179677-5,0,1,3
4,30029790-1,0,1,4
5,30282316-1,0,1,5
6,30423930-1,0,1,6
7,40167058-1,1,1,7
8,40149174-1,1,0,8
9,40367885-4,1,1,9
10,40420590-1,1,1,10
11,30187407-3,2,0,11
12,40739989-3,2,0,12
13,30016467-2,2,0,13
14,40548121-2,3,1,14
15,40758433-1,3,1,15
16,40085224-2,3,0,16
17,40020010-1,3,0,17
18,30055410-1,3,0,18
19,30385210-1,3,1,19
20,30100237-7,4,1,20
21,30160776-1,4,0,21
22,30114662-2,4,0,22
23,40155958-4,4,1,23
