,TripId,ResNode,CommNode,HouseID
0,30410421-2,0,0,0
1,40547491-3,0,1,1
2,30550419-1,0,1,2
3,30079183-1,0,1,3
4,40553489-2,0,0,4
5,40121973-1,0,0,5
6,40303022-2,1,0,6
7,40006113-2,1,0,7
8,40134107-5,1,0,8
9,40715756-2,1,0,9
10,40365969-1,1,1,10
11,30525091-1,1,0,11
12,40225619-2,2,1,12
13,30237499-1,2,1,13
14,30234891-2,2,0,14
15,30303975-2,2,0,15
16,30397039-1,3,0,16
17,30080902-3,3,1,17
18,30036979-1,3,1,18
19,30160776-1,3,0,19
20,40702338-1,3,0,20
21,30094145-1,4,0,21
22,40243224-1,4,1,22
23,40571010-4,4,0,23
24,30530805-1,4,0,24
25,30252690-1,4,0,25
